STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,VEHICLE_TYPE,Vehicle type,INFRASTRUCTURE_TYPE,Infrastructure type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,EST,Estonia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2020,,4281,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,GEO,Georgia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2020,,712,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,ARM,Armenia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,COASTAL,Coastal shipping,_T,Total,_T,Total,2022,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NLD,Netherlands,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2020,,5194,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,FIN,Finland,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2020,,29705,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,TUR,Türkiye,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2019,,336665,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,MDA,Moldova,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2019,,6507,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,LUX,Luxembourg,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,COASTAL,Coastal shipping,_T,Total,_T,Total,2020,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,RUS,Russia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,OWN,On own account,_T,Total,_T,Total,2020,,108663,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,UZB,Uzbekistan,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2019,,15879,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,KOR,Korea,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2022,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,SVK,Slovak Republic,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,COASTAL,Coastal shipping,_T,Total,_T,Total,2022,,,,M,Missing value; data cannot exist,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NOR,Norway,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,RAIL,Rail,_T,Total,_T,Total,2020,,4110,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,ITA,Italy,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,ROAD,Road,_T,Total,_T,Total,2020,,133222,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,ESP,Spain,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2020,,7763,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,FRA,France,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,PIPE,Pipeline,_T,Total,_T,Total,2020,,9514,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,JPN,Japan,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2020,,231760,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,SVN,Slovenia,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,HIRING,For hire and reward,_T,Total,_T,Total,2020,,1593,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,CHE,Switzerland,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,TOT_INL,Inland,_T,Total,_T,Total,2020,,28188,,A,Normal value,6,Millions,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSFREIGHT(1.0),Annual freight transport,I,NZL,New Zealand,A,Annual,FREIGHT,Freight transport,TKM,Tonnes-kilometres,IWW,Waterways,_T,Total,_T,Total,2020,,,,M,Missing value; data cannot exist,6,Millions,1,One
